Feature_Reaction,Feature_Mode,Shap_Value,Cycle
PTRCTA2,0,0.0,regressor_model_1.pkl
DMALRED,0,0.0,regressor_model_1.pkl
G3PD2,0,0.0,regressor_model_1.pkl
DLYSPYRAT,0,0.0,regressor_model_1.pkl
DHSKDH,0,0.0,regressor_model_1.pkl
VALDHr,0,0.0,regressor_model_1.pkl
MEPCT,0,0.0,regressor_model_1.pkl
LSERDHr,0,-0.0016843457119429194,regressor_model_1.pkl
G6PDH2r,0,-0.000681545387575448,regressor_model_1.pkl
DHQTi_copy1,0,0.0,regressor_model_1.pkl
DHQTi_copy2,1,-0.007465774057647312,regressor_model_1.pkl
HPYRRx,1,0.00685525711786859,regressor_model_1.pkl
GLUDy,0,-0.00027228199606290916,regressor_model_1.pkl
LTDCL,0,0.0,regressor_model_1.pkl
H2CO3D2,1,0.0033014278515285655,regressor_model_1.pkl
GAPD,0,0.0,regressor_model_1.pkl
SSALy,1,0.002782182855828182,regressor_model_1.pkl
GLYCTO1,0,0.0,regressor_model_1.pkl
ACS,1,0.0011552662662888825,regressor_model_1.pkl
PDHa,1,0.005096966781637263,regressor_model_1.pkl
HEPCT,0,0.0,regressor_model_1.pkl
SERAT_copy1,0,0.0,regressor_model_1.pkl
VALTA,0,0.0,regressor_model_1.pkl
SUCOAS,0,0.0,regressor_model_1.pkl
FRDO4r,0,0.0,regressor_model_1.pkl
GLNS_copy1,0,0.0,regressor_model_1.pkl
ILEDHr_1,0,0.0,regressor_model_1.pkl
ENO,0,0.0,regressor_model_1.pkl
RBK,0,0.0,regressor_model_1.pkl
ALATRS,0,-0.0004898243583673853,regressor_model_1.pkl
PTPATi,0,0.0,regressor_model_1.pkl
FDH,0,0.0,regressor_model_1.pkl
NDPK3,0,0.0,regressor_model_1.pkl
DHAD1_copy2,1,0.001963006864883498,regressor_model_1.pkl
PHETA1,0,0.0,regressor_model_1.pkl
FALDM,0,0.0,regressor_model_1.pkl
PPND,0,0.0,regressor_model_1.pkl
PPK,0,0.0,regressor_model_1.pkl
PPA,0,0.0,regressor_model_1.pkl
PRASCSi_copy1,0,0.0,regressor_model_1.pkl
