Training_time,r2_train,r2_test
60.0,0.8628904477309915,0.7071812708618508
60.0,0.8937597183375123,0.7855855916647507
60.0,0.6991985512761734,0.4323931076528196
30.0,0.4059794103870622,0.559321683417949
30.0,0.390089432069728,0.4305947100221213
30.0,0.6891075982473952,0.5268911883884294
120.0,0.8238157906342995,0.7876960479011996
120.0,0.8331651851963774,0.5191645365192278
120.0,0.9771201287417616,0.8376446058645588
240.0,0.9567267246442064,0.9762040941160024
240.0,0.8569032288886893,0.2475944778321143
240.0,0.995674052393728,0.9949077703055828
480.0,0.9952377103442996,0.6598020218894789
480.0,0.9991369192664656,0.9980963882693314
480.0,0.9987394655676655,0.8141040615651887
