ReactionDeletions,NoOfDels,GrowthRate,ProductFlux,CouplingStrength,DistFromIdeal
23CTI1 ACS ACSPHACP40 ASPT DHSKDH ECOAH8 ENO GDBTALDH GDPMANNDH ICDHyr ILEDHr_1 ACACT10 MACACI MALS MAN6PI METGL NADTRHD NDPK3 NFORGLUAH2 PGI PGK PHAPCP40 PPK PYK TPI HMR_0180_copy2 ADNK1 ALATA_L 3OXCOAT,29,0.05096595,3.92842678,1,1.03741748534965
ACSPHACP90 GART GLYCK GPDDA4 HACD20i HACD26i HACD32i HACD8i MACACI MAN6PI MMTSAO NDPK6 NFORGLUAH2 PGI PGK PHAPC70 PPCK PPK RHACOAE90 THRA TPI TRSARr ADK3 ADPT ECOAH2 3OADPCOAT 3OXCOAT,27,0.05693228,3.92004806,0.497017509223239,1.17090686218603
23CTI1 ACSPHAC50 CSND DHSKDH FACOAE80 FALDM FDH GPDDA4 MACACI MAN6PI NFORGLUAH2 NTP1 NTPP7 PGI PGK PGM PPCK PPK TPI URIH AKGDb_copy2 ACALD ADPT AST 3OXCOAT 4HBHYOX,26,0.05704127,3.91989501,0.452491152458562,1.18516568234419
ACSPHAC120 ACSPHAC90 CSPMDDH DLYSAD G5SD_copy1 GLUR HACD8i HPYRI KAT1 ACACT13 LSERDHr MACACI MAK MAN6PI NFORGLUAH2 PGI PGK PGL PPK RHACOAE121 RHACOAE50 RHACOAEP100 TPI ACALD AST 3OXCOAT,26,0.05762797,3.91907108,0.318503497520388,1.22915916309612
ACOAD7f ACSPHACP90 ASPCT DHMPTR ECOAH26 GART HACD32i MACACI MAN6PI NFORGLUAH2 PGI PGK PGM PHADPC60 PHAPCT40 PPK RHACOAE70 TPI HMR_0180_copy2 ACOAD23f ALATA_L 3OADPCOAT 3OXCOAT,23,0.0574187,3.90790902,0.450929749367366,1.18538101449322
ACSPHAC120 ANHMK ASPCT CSND CSPMDDH DHQTi_copy1 DHSKDH G5SD_copy1 G6PDH2r GALUi GLUCYS_copy1 GLYO1 HACD22i HIBDkt HSK MACACI MAN1PT2 MAN6PI NFORGLUAH2 PDHcr PGK PGL PHAP2C100 PPK QUIDH RHACOAE50 RHACOAEP100 TPI HMR_0180_copy2 3OXCOAT,30,0.05782524,3.90391504,1,1.02666663759925
ACS ACSPHAC120 ACSPHAC80 FACOAE100 GART GUAPRT HSK ACACT8 ACACT12 MACACI MAK MAN6PI METSOXR2 MMTSAO NFORGLUAH2 NTPP5 NTPP8 PDHcr PGI PGK PHADPCP50 RECOAH17 RECOAH22 RHACOAE121 RHACOAE141 RHACOAEP100 TPI UREA 3OXCOAT,29,0.05892964,3.50606751,1,1.03838248227048
ACOAD7f ACS ACSPHAC120 ACSPHACP50 APSR ECOAH37 ECOAH7 FDH GGGABAH HACD32i ACACT10 ACACT12 MACACI MAN6PI METSOXR2 NFORGLUAH2 NTPP5 OCOAT1 OIVD2 PDHcr PGI PGK PHADPCP50 QUIDH RECOAH17 RHACOAE141 RHACOAEP100 THRA2 TPI 3OXCOAT,30,0.0589309,3.50570848,1,1.03839616180192
ACSPHAC120 ACSPHAC80 FACOAE100 GART GUAPRT HSK ACACT8 ACACT12 MACACI MAK MAN6PI MMTSAO NFORGLUAH2 NTPP5 NTPP8 PDHcr PGI PGK PHADPCP50 RECOAH17 RECOAH22 RHACOAE121 RHACOAE141 RHACOAEP100 TPI 3OXCOAT,26,0.06018381,3.4739719,1,1.03777870171026
ACOAD7f ASPCT CSND DHORTS ECOAH26 FACOAE180 HMR_0260 GALUi GLYO1 HACD32i HACD8i HIBDkt HSK MACACI MAN1PT2 MAN6PI NFORGLUAH2 PAPSR PCADYOX PDHcr PGI PGK QUIDH TPI DHQTi_copy2 GAPDi_nadp 3OADPCOAT 3OXCOAT 4HBHYOX,29,0.06018511,3.47360453,1,1.03779328835685
ACOAD5f ACSPHAC120 ASPCT ECOAH26 ECOAH28 FACOAE1829Z12Z FDH FUM GLU5K GLYO1 HACD22i HACD6i HPPK MACACI MAN6PI MDH NFORGLUAH2 PGI PGK PHAPCP70 PPK PROD2 RECOAH2 RECOAH3 IDPh_1 ACALD ADPT ALATA_L,28,0.04067481,3.2834977,1.15145352469715,1.04588583208719
ACOAD5f ACSPHAC120 ACSPHAC121d6 ASPCT ECOAH26 ECOAH28 FACOAE1829Z12Z FDH FUM GLU5K GLYO1 HACD22i HACD6i HPPK MACACI MAN6PI MDH NFORGLUAH2 PGI PGK PHAPCP70 PPK PROD2 RECOAH2 RECOAH3 IDPh_1 ACALD ADPT ALATA_L,29,0.04067481,3.2834977,1.15145352469715,1.04588583208719
APSR DHMPTR ECOAH25 FDH FUM GLYO1 HACD5i HSK MAN6PI NADHPO PGI PGK PHAPCP90 PPK50_B PRMICI_copy1 QUIDH RECOAH4 RHACOAE90 RNDR4 AACOAT ACALD ATHRDHr 3OXCOAT,23,0.05360935,3.26765003,1.12241212991833,1.03125380009837
APSR DHMPTR ECOAH25 FACOAE80 FDH FUM GLYO1 HACD23i HACD5i HSK MAN6PI NADHPO PGI PGK PHAPCP90 PPK50_B PRMICI_copy1 QUIDH RECOAH4 RHACOAE141 RHACOAE90 RNDR4 AACOAT ACALD ATHRDHr 3OXCOAT,26,0.05360935,3.26765003,1.12241212991833,1.03125380009837
ACOAD7f ACONTb ACSPHAC80 AP4AS ASPCT ECOAH7 GLXCL HACD21i HSK ICL ACACT9 MAN6PI MDH NFORGLUAH2 PGI PGK PPCK QUIDH RHACOAE141 RHACOAEP40 ACALD 3OADPCOAT 4HBHYOX,23,0.06240345,3.25687531,1.06208337156144,1.03072132901297
