t-SNE 1,t-SNE 2,Cluster
7.483272,45.761787,0
11.343323,-39.21808,0
41.143986,-8.4748335,0
8.034364,-12.311898,0
3.2585602,-7.464347,0
-4.168117,21.364649,0
-3.9383104,-11.825057,0
-7.1425323,-28.16454,0
14.911582,-40.146465,0
1.890344,-22.065275,0
12.430452,-35.27724,0
-36.232754,2.1822417,0
-0.84342825,-34.98262,0
-2.642363,-32.52439,0
-2.4211135,-16.319332,0
-1.8899037,-31.641293,0
37.962845,-25.601809,0
12.758374,-24.96042,0
-0.79119956,-15.366941,0
-6.113183,22.673052,0
-0.8867604,-13.7739105,0
12.7256155,-23.0864,0
-3.995836,-41.89528,0
-0.9343122,-13.946068,0
12.992464,-38.411392,0
-27.492363,-3.4691417,0
10.388305,-32.577427,0
7.098526,-30.563848,0
-29.785133,-30.348272,0
-1.3454056,-8.422194,0
34.74386,-19.433676,0
8.463626,-37.270348,0
0.4957593,-37.92402,0
-24.380014,-2.290399,0
-8.693455,-23.8348,0
9.897438,-37.832134,0
1.5336862,-36.6622,0
10.913046,-39.392162,0
-12.814347,26.21668,0
46.608284,-1.2459515,0
71.83674,4.290504,0
-2.9495919,-15.603654,0
-4.331294,-43.03775,0
54.50906,-7.8395276,0
-0.16477393,23.8941,0
-14.318468,21.217657,0
-37.8142,-0.89622587,0
22.38597,5.136015,0
36.971863,-8.487574,0
53.81516,-6.4447002,0
-12.637956,27.204508,0
-15.457816,38.321815,0
-36.76016,0.33542237,0
19.429497,-15.112795,0
-22.862064,38.102238,0
-23.56379,7.378283,0
-6.4579954,-31.94407,0
9.649633,-23.516434,0
-31.398087,3.4152522,0
-12.055117,26.74999,0
-0.5935648,23.916796,0
38.40394,-22.89704,0
1.839036,-38.021416,0
1.6998098,-10.706846,0
-21.260855,3.3381097,0
5.821234,-38.030727,0
-32.411495,19.02917,0
-2.6539423,26.313444,0
-26.1981,14.860608,0
-11.481218,1.4037539,0
-37.58064,10.899819,0
-43.74509,13.324055,0
-6.878764,-41.018772,0
6.177581,-30.685875,0
1.291997,-13.048655,0
-2.6762855,-46.27929,0
7.476399,-13.497733,0
9.774965,-23.51548,0
-29.69671,-12.487528,0
39.450447,-31.06306,0
12.845946,-21.448507,0
9.562898,-20.625183,0
-1.6918387,-10.693878,0
35.159496,4.7623615,0
22.151138,-19.499027,0
-6.343776,22.367365,0
-35.248436,-13.853266,0
15.2448435,-16.843313,0
42.972782,-14.048556,0
20.505257,-41.950974,0
44.809357,-11.6008215,0
3.3145235,-32.5156,0
-7.6202497,26.04382,0
-20.346113,-3.0469706,0
36.908554,8.575517,0
-3.1976776,-9.427041,0
-6.394945,-10.331082,0
7.563959,-33.41091,0
44.554684,-14.748705,0
-29.770592,-12.477567,0
-18.611845,-0.7539585,0
-11.543225,3.0645401,0
-42.14368,-13.707397,0
-49.2142,-9.932975,0
-39.077778,-44.63467,0
-67.03499,27.908657,1
-70.68989,-27.468111,0
-60.35582,38.124966,0
20.12402,65.3121,0
28.762823,58.884075,0
12.184479,-71.66313,0
-52.414223,9.986824,0
67.47233,17.306993,0
67.471855,17.305845,0
67.4695,17.306255,0
67.4713,17.303095,0
67.468315,17.304691,0
67.47282,17.3085,0
67.47613,17.308083,0
67.47307,17.3141,0
67.470764,17.308464,0
67.4644,17.311068,0
67.46841,17.307367,0
67.47182,17.307943,0
36.141056,55.594326,0
36.141647,55.594498,0
36.142307,55.595177,0
36.14101,55.594498,0
36.14182,55.59473,0
36.14086,55.594177,0
36.141727,55.595154,0
36.141987,55.595264,0
36.142433,55.59497,0
36.141712,55.594673,0
36.143784,55.595997,0
36.141914,55.59431,0
20.789804,53.64612,0
20.790886,53.645954,0
20.79168,53.650356,0
20.791714,53.643345,0
20.789356,53.6486,0
20.790497,53.648727,0
20.791346,53.643124,0
20.788902,53.64317,0
20.788294,53.692352,0
20.789612,53.657413,0
20.790464,53.646812,0
20.789536,53.665054,0
-47.754887,40.816402,0
-47.75432,40.8189,0
-47.755196,40.81585,0
-47.760464,40.819828,0
-47.75218,40.819515,0
-47.76024,40.81595,0
-47.76263,40.81469,0
-47.77392,40.814823,0
-47.738438,40.828674,0
-47.74859,40.82302,0
-47.75676,40.817184,0
-47.75138,40.811653,0
-46.472546,-6.887605,0
-46.511692,-6.939384,0
-46.37483,-6.8668966,0
-46.573677,-7.008087,0
-46.488018,-6.8992963,0
-66.534966,28.603777,1
-46.500076,-6.917109,0
-46.50947,-6.869642,0
-46.337418,-6.826772,0
28.418526,60.207783,0
12.418919,-70.81742,0
-52.459183,9.906961,0
5.3838534,-22.856606,0
5.336637,-22.849041,0
-43.58989,-13.97057,0
-48.49536,-11.018105,0
-39.98431,-44.700573,0
-67.177124,28.85724,1
5.3286657,-22.88232,0
-61.09983,39.004265,0
21.032589,65.04071,0
29.556334,59.40497,0
12.316583,-72.64201,0
-52.53155,10.005944,0
-20.348421,28.461666,0
-15.8447075,26.59454,0
-40.97372,-12.686877,0
-48.393894,-10.001566,0
-38.796352,-43.566063,0
-67.82186,28.447197,1
-71.444756,-28.362362,0
-61.09107,37.42891,0
19.103533,64.58246,0
28.033106,59.129948,0
12.997327,-71.30949,0
-54.84922,27.372252,0
-43.45787,-8.1673565,0
-43.469482,-8.209541,0
-43.444927,-8.213752,0
-43.566875,-8.233128,0
-43.451355,-8.208351,0
-66.3197,28.072771,1
-71.68996,-27.082352,0
-59.98473,38.93268,0
18.427048,65.18258,0
-43.468277,-8.209469,0
11.194371,-71.37904,0
-43.430225,-8.04192,0
-46.174793,-9.50617,0
-11.640958,3.7815151,0
-42.933914,-14.388073,0
-46.33126,-9.542443,0
-38.36719,-45.204918,0
-66.21027,27.247648,1
-71.36419,-26.536184,0
-61.441223,38.64884,0
19.858625,64.39228,0
29.811,58.96813,0
12.367967,-70.79234,0
-54.69061,27.372936,0
-19.205275,-0.5603215,0
-13.136145,2.8971734,0
-42.710255,-14.57129,0
-49.67668,-9.136876,0
-39.181698,-43.816936,0
-68.047066,27.514585,1
-70.46084,-26.417671,0
-59.678955,37.334606,0
19.186546,65.89133,0
28.414108,57.83781,0
11.818023,-70.57989,0
-54.503014,28.047434,0
-48.050205,-13.03283,0
-48.066963,-13.008218,0
-42.75958,-12.997506,0
-48.12659,-12.883366,0
-40.149944,-43.78145,0
-67.64142,28.597822,1
-69.85893,-27.507257,0
-59.46847,38.424847,0
19.783382,66.0677,0
29.089891,60.083294,0
13.038162,-72.35921,0
-54.88689,27.704762,0
-15.32639,-17.986488,0
-15.384018,-18.084787,0
-41.770935,-14.767502,0
-49.256943,-11.600143,0
-38.734184,-44.230804,0
-67.234,28.036499,1
-71.25941,-28.215279,0
-60.887398,37.56299,0
20.955957,65.73237,0
29.395447,58.25476,0
11.546387,-71.10819,0
-54.74235,27.562628,0
-18.023539,-2.2081118,0
-12.015062,3.1720839,0
-41.600407,-14.361569,0
1.8941151,9.834861,0
-38.94834,-45.50423,0
-66.88219,28.46152,1
-69.79922,-26.73082,0
-60.717358,38.63962,0
19.397514,66.33088,0
28.081846,59.49973,0
12.206794,-72.41059,0
-54.933857,26.850006,0
-19.94496,-12.926742,0
-11.334712,1.9315885,0
-42.19751,-13.716185,0
-49.2048,-9.968768,0
-39.122948,-44.641506,0
-66.490395,26.635857,1
-69.84148,-27.37462,0
-60.211803,37.3542,0
20.051212,65.30962,0
27.872765,58.594532,0
-54.102795,27.66669,0
-20.895828,-12.16692,0
-17.818651,20.429472,0
-42.983604,-13.300575,0
-50.54064,-9.859653,0
-39.899414,-44.659706,0
-67.43012,27.706137,1
-70.888214,-28.689106,0
-59.770435,39.04808,0
19.663736,65.49034,0
28.635647,58.446896,0
13.270046,-71.6606,0
-54.718002,27.429533,0
4.5565724,10.183554,0
-11.604238,2.909943,0
-41.71528,-14.156839,0
-49.15215,-9.544855,0
-39.215145,-45.53948,0
-66.77347,28.923378,1
-70.17704,-27.177135,0
-60.792473,37.519714,0
20.62474,65.892334,0
28.039122,59.37922,0
12.718635,-72.080185,0
-54.84185,27.222048,0
-16.672573,-1.1603197,0
-11.393262,2.9971814,0
-42.497368,-12.961843,0
-49.202812,-10.79337,0
-39.929287,-43.98386,0
-67.33918,28.273434,1
-70.66578,-28.13909,0
-59.157722,37.918888,0
20.735435,65.049225,0
29.065727,59.86204,0
12.800964,-72.54889,0
-54.986946,26.928724,0
-11.869166,1.9943621,0
-41.539413,-13.543416,0
-49.204872,-9.968753,0
-37.830147,-43.730293,0
-65.74987,28.077242,1
-69.89388,-28.069048,0
-60.211052,38.631588,0
20.476854,64.55665,0
28.59898,58.486557,0
12.020383,-72.23902,0
-55.01572,26.759706,0
-19.126497,-2.066851,0
-10.584758,2.9810941,0
-43.041325,-13.420728,0
-50.15972,-10.027417,0
-38.15065,-44.99995,0
-67.774315,27.619013,1
-71.669266,-27.101337,0
-60.340332,38.12677,0
19.750677,65.34911,0
28.097816,59.141277,0
11.861497,-70.76209,0
-55.255943,27.072107,0
-6.345683,4.119312,0
-12.000637,4.746924,0
-17.904331,-15.239932,0
-49.75474,-10.877783,0
-39.362755,-45.314774,0
-66.69957,28.886496,1
-71.81895,-26.837822,0
-61.34015,38.621555,0
20.567188,64.29191,0
28.604984,58.48163,0
11.25534,-72.05971,0
-55.07563,26.734512,0
-6.6322966,13.22977,0
-47.367313,-10.906137,0
-42.293167,-14.960545,0
-47.829235,-10.699742,0
-39.88933,-45.1611,0
-67.34816,26.87227,1
-69.73803,-28.11996,0
-60.825626,39.097668,0
20.964655,65.70016,0
28.87793,58.32602,0
12.591477,-71.039665,0
-55.028976,26.677055,0
-19.744564,28.062675,0
-11.226765,2.6672602,0
-41.86454,-13.026126,0
-49.12452,-10.28199,0
-39.482677,-45.226147,0
-67.14001,27.147575,1
-70.373985,-28.317398,0
-59.215378,38.076748,0
20.62435,65.16413,0
28.404678,59.042965,0
11.268097,-71.408195,0
-54.937737,26.783367,0
-9.87109,-1.5431782,0
-10.804467,2.7642834,0
-42.865356,-13.852265,0
-49.935753,-9.986041,0
-38.57004,-44.89809,0
-67.14763,27.719572,1
-70.56336,-27.281084,0
-60.490353,38.052822,0
20.145058,66.58471,0
28.944038,58.79569,0
11.816637,-71.629364,0
-55.007175,26.882832,0
-14.622763,28.548662,0
-11.716028,3.0999818,0
-42.81213,-13.389094,0
-49.849834,-10.033618,0
-38.55732,-44.4101,0
-67.05434,27.959192,1
-70.87806,-28.351555,0
-59.90967,38.82628,0
20.104322,65.31178,0
28.766933,58.89193,0
11.728955,-71.26301,0
-54.87199,26.850662,0
-8.935744,-12.685117,0
-10.669604,4.176975,0
-41.96332,-12.396898,0
-49.72724,-9.756906,0
-39.061573,-45.279884,0
-67.82205,28.657187,1
-70.25486,-28.276907,0
-60.827633,39.069656,0
19.229414,65.85109,0
27.810646,58.586086,0
13.018157,-71.056725,0
-54.741394,26.233198,0
-19.499083,-8.309699,0
-11.807242,2.1041758,0
-43.656654,-14.04041,0
-50.026257,-9.888951,0
-38.300106,-44.450264,0
-67.677826,27.518332,1
-70.331245,-26.87887,0
-61.17932,37.708954,0
20.059696,66.705666,0
29.49738,58.308556,0
12.392897,-71.00147,0
-54.967102,26.766113,0
-18.962757,-0.6325066,0
-42.36202,-14.728859,0
-49.553772,-9.323755,0
-67.29492,27.4451,1
-70.64509,-27.198902,0
-59.53364,37.66987,0
19.738152,65.085236,0
28.84758,59.575535,0
12.121875,-72.58643,0
-54.98357,26.80595,0
-19.129597,-5.9032516,0
-11.191388,3.436044,0
-42.359097,-14.686813,0
-49.62444,-9.075195,0
-38.832424,-45.384922,0
-66.65104,28.244469,1
-70.002846,-26.902706,0
-60.541367,38.408836,0
19.381523,64.861755,0
28.845224,59.70047,0
11.484133,-72.24336,0
-54.894295,26.591246,0
-18.872044,-0.4729345,0
-12.131403,3.0499284,0
-42.75662,-13.512978,0
-48.639954,-10.410842,0
-39.62206,-44.990295,0
-67.04954,27.903526,1
-69.98543,-27.974676,0
-60.12036,38.88964,0
20.545586,65.66023,0
29.23265,58.302105,0
12.180008,-71.781624,0
-54.7622,26.140327,0
-41.923664,-13.764194,0
-48.91683,-10.238371,0
-65.75022,28.09667,1
-60.26148,38.270424,0
28.79175,58.934444,0
12.81435,-72.60213,0
-54.665783,26.035357,0
-32.915634,-9.004512,0
-32.932884,-9.006549,0
-42.630947,-14.109797,0
-48.027092,-9.307993,0
-38.422832,-45.075977,0
