t-SNE 1,t-SNE 2,Cluster
3.914807,56.528397,0
19.984482,-32.444664,0
34.507122,-31.217808,0
23.772943,-23.801727,0
4.921101,-8.332067,0
0.28807133,24.969326,0
-1.37724,-13.718235,0
2.7065651,-32.445065,0
26.965725,-27.515553,0
-22.36,-5.1657,0
22.315434,-27.898373,0
-47.08304,0.23528992,0
9.28767,-39.05731,0
5.687068,-36.744743,0
1.570426,-19.193106,0
5.7887793,-34.9181,0
26.712072,-60.376774,0
31.355352,-22.61679,0
15.9716425,-35.42344,0
-7.9888206,29.037785,0
3.080977,-16.958097,0
25.86877,-21.376575,0
-23.313564,-58.32896,0
3.0480764,-17.051716,0
22.014242,-30.819675,0
-24.162283,-10.000366,0
7.2950516,-38.399025,0
17.58001,-27.468273,0
-24.174404,-40.14236,0
0.9464128,-10.906129,0
28.401861,-32.800037,0
9.746634,-43.43263,0
5.768071,-44.63471,0
-31.650295,1.9285183,0
-2.8518217,-26.46846,0
14.922867,-35.031666,0
13.692719,-38.66825,0
17.75983,-8.038631,0
-24.439194,33.825382,0
42.778847,-25.13969,0
2.8424432,34.65204,0
1.020348,-18.583477,0
6.78717,-52.164318,0
41.92714,-27.089758,0
-8.432917,25.224392,0
-19.126749,24.366373,0
-45.075253,3.5610406,0
19.008532,15.092103,0
30.324142,-30.724106,0
55.415863,-24.064026,0
-25.625212,33.48786,0
1.451975,36.79509,0
-24.540512,19.036295,0
30.046736,-8.413305,0
-27.995148,38.65884,0
-36.200905,-2.1255944,0
0.15297496,-35.155403,0
17.332838,-20.377148,0
-29.768621,4.4300485,0
-24.20558,34.142315,0
-8.143324,26.3375,0
29.485348,-48.344467,0
43.793167,-38.1447,0
2.8238044,-10.2358675,0
-18.487112,4.636268,0
7.1382008,-29.351467,0
-36.77339,-2.506478,0
-5.865882,31.135637,0
-33.879337,10.137629,0
-9.923718,-3.2479377,0
-46.304493,4.8393617,0
-55.08729,11.311725,0
-6.619128,-44.81148,0
16.393665,-28.529594,0
18.58244,-8.478304,0
7.076752,-56.210915,0
18.948654,-14.362407,0
17.284443,-20.184347,0
-31.246721,-19.847065,0
22.030184,-42.9023,0
18.366035,-21.970713,0
16.445543,-16.57106,0
2.0515501,-12.809755,0
36.553608,11.2767935,0
24.659065,-24.022402,0
-8.38731,28.595085,0
-36.328136,-19.88837,0
21.178162,-10.759889,0
32.78101,-38.556946,0
11.3088455,-32.85482,0
25.255234,-45.121082,0
10.444298,-32.22819,0
-29.465929,35.118607,0
-1.3434411,26.855059,0
37.28151,18.119503,0
2.149453,-15.573561,0
-3.1599395,-13.4526,0
-26.984442,-0.9371947,0
35.273308,-36.71167,0
-31.292723,-19.861176,0
-15.550581,4.5450163,0
-8.324729,-2.040939,0
-53.485245,-11.4999,0
-45.65413,-15.661357,0
-40.297195,-46.824577,0
-72.92462,6.4109535,1
-74.449234,-39.24715,2
-72.54536,38.501118,3
18.546827,71.34908,4
26.653545,65.303635,5
-20.241404,-78.145836,6
-49.03843,7.8968587,0
73.42232,11.367187,7
73.41666,11.352457,7
73.411865,11.351091,7
73.42746,11.377554,7
73.409424,11.341934,7
73.411385,11.3543415,7
73.43622,11.393522,7
73.438736,11.398774,7
73.408356,11.351024,7
73.41225,11.351333,7
73.43806,11.397176,7
73.44852,11.406518,7
39.07579,66.09136,8
39.072865,66.089874,8
39.07658,66.0947,8
39.0776,66.09478,8
39.073975,66.09118,8
39.074963,66.09302,8
39.076202,66.092445,8
39.07412,66.09114,8
39.072845,66.08894,8
39.071808,66.08864,8
39.082294,66.10507,8
39.07588,66.09317,8
76.59056,18.564157,0
76.5934,18.564157,0
76.59692,18.564402,0
76.59438,18.564283,0
76.59688,18.564417,0
76.59072,18.564098,0
76.60196,18.564375,0
76.60024,18.563868,0
76.595055,18.566221,0
76.59319,18.5644,0
76.609406,18.564695,0
76.59332,18.56539,0
16.205973,79.5574,9
16.207054,79.568115,9
16.208675,79.55385,9
16.204693,79.57029,9
16.216349,79.53128,9
16.20776,79.558784,9
16.204227,79.576004,9
16.205008,79.5757,9
16.238804,79.47209,9
16.20944,79.57996,9
16.206747,79.57262,9
16.203989,79.58304,9
-43.42951,-11.839579,0
-43.456463,-11.859726,0
-43.391224,-11.671249,0
-43.481415,-11.896612,0
-43.448147,-11.846528,0
-72.047066,5.7475643,1
-43.449337,-11.857978,0
-43.460056,-11.857377,0
-43.361126,-11.583215,0
26.702648,67.527565,5
-19.204702,-77.71971,6
-49.117348,7.824224,0
10.701373,-9.495066,0
10.6910515,-9.5203905,0
-53.052444,-13.373176,0
-47.579987,-15.711713,0
-39.945988,-45.864693,0
-72.50384,5.7653165,1
10.686378,-9.52044,0
-73.83423,37.39741,3
17.951967,72.041084,4
27.42876,64.42928,5
-21.323553,-77.88137,6
-49.048347,7.8194056,0
-26.201801,24.260206,0
-20.435186,37.299286,0
-52.244717,-9.65979,0
-45.54583,-16.746449,0
-41.339237,-47.687244,0
-73.265564,5.589199,1
-73.15477,-38.641182,2
-73.37428,39.47906,3
18.685568,69.49741,4
26.632511,66.278336,5
-20.838615,-78.96535,6
-66.74892,30.828537,0
-47.92026,-10.536387,0
-47.889477,-10.633234,0
-47.886963,-10.637697,0
-47.87786,-10.676558,0
-47.90077,-10.614013,0
-71.87478,6.8499084,1
-75.53024,-39.88536,2
-72.61381,37.57519,3
-47.953598,-10.443777,0
-47.88836,-10.663779,0
-20.266226,-79.904686,6
-47.964417,-10.373714,0
-45.79095,-11.362631,0
-7.4488244,-2.3085225,0
-54.63327,-10.660948,0
-45.785732,-11.416285,0
-39.06928,-47.3306,0
-72.02195,7.572362,1
-76.2964,-39.40618,2
-74.164825,38.271877,3
19.33274,70.71887,4
27.483364,64.111595,5
-19.272388,-77.609886,6
-66.65741,30.798223,0
-16.027441,4.534256,0
-9.985444,-1.6562136,0
-54.633316,-10.827933,0
-44.43255,-15.815858,0
